SiteNo,DecLatVa [deg],DecLongVa [deg],AquiferType
423148098300601.00,42.53000197,-98.50202773,UNCONFINED
423432100404001.00,42.57555823,-100.6781945,
423730098560001.00,42.6250019,-98.93370562,UNCONFINED
425225100320501.00,42.87361657,-100.5351329,
425956101424101.00,42.99889085,-101.7118124,UNCONFINED
430010099580601.00,43.0027834,-99.9687296,UNCONFINED
430027102311801.00,43.0074859,-102.5221056,UNCONFINED
430055101440002.00,43.40360969,-101.7237593,UNCONFINED
430128099520001.00,43.02444902,-99.86706129,UNCONFINED
430129099201201.00,43.02472278,-99.33704785,CONFINED
430133100061501.00,43.02583921,-100.104567,UNCONFINED
430154100411801.00,43.03222878,-100.68875,
430159100531001.00,43.03138889,-100.8863889,UNCONFINED
430200102130001.00,43.03304782,-102.2137629,UNCONFINED
430226100445201.00,43.04056188,-100.7481967,CONFINED
430253101420701.00,43.05083437,-101.7023688,UNCONFINED
430255101291801.00,43.04694779,-101.4857035,UNCONFINED
430256101160001.00,43.05083926,-101.2684842,CONFINED
430258100471401.00,43.04722848,-100.7870871,UNCONFINED
430310098574401.00,43.0527753,-98.96259116,UNCONFINED
430310100245501.00,43.05334,-100.4156861,CONFINED
430314100372001.00,43.05388889,-100.6222222,UNCONFINED
430405098563401.00,43.06805281,-98.94314604,UNCONFINED
430520101260401.00,43.08889155,-101.4348712,UNCONFINED
430521101223401.00,43.08944782,-101.3782051,UNCONFINED
430610100481701.00,43.10361111,-100.8063889,CONFINED
430620101234501.00,43.10389157,-101.3970939,UNCONFINED
430638099520801.00,43.11055914,-99.86928359,UNCONFINED
430653101383401.00,43.11333559,-101.4076495,UNCONFINED
430701100363001.00,43.11805556,-100.61,UNCONFINED
430706101391001.00,43.11833325,-101.6532036,UNCONFINED
430715101444701.00,43.11888831,-101.7295921,UNCONFINED
430748100455601.00,43.12916667,-100.7675,UNCONFINED
430748102154801.00,43.12943475,-102.2648778,UNCONFINED
430757101223801.00,43.1275022,-101.3776498,UNCONFINED
430757101264701.00,43.11750161,-101.4468158,UNCONFINED
430825101151801.00,43.14278112,-101.2554283,UNCONFINED
430832101364701.00,43.14277732,-101.6137597,UNCONFINED
430835101295001.00,43.14332963,-101.930428,UNCONFINED
430835101554601.00,43.14277797,-101.4945936,UNCONFINED
430837101211901.00,43.14305757,-101.3557055,UNCONFINED
430839100373801.00,43.14417245,-100.6295818,UNCONFINED
430840100445601.00,43.14305757,-101.3559833,UNCONFINED
430840101213601.00,43.1427798,-101.3554277,UNCONFINED
